model,smote,val_auc,val_pr_auc,best_threshold,test_auc,test_f1,test_precision,test_recall,test_accuracy
rf,False,0.8093559988716855,0.4770424389460191,0.2706974446986359,0.8128258555828105,0.5242424242424243,0.49334600760456276,0.5592672413793104,0.8856518572469045
xgb,False,0.8054933195305326,0.4725667580185409,0.22693169116973877,0.8108757341148167,0.5258536585365854,0.4803921568627451,0.5808189655172413,0.8820101966496723
logreg,False,0.7980329856822063,0.4486963968453026,0.688541604246478,0.8013279665314401,0.5027322404371585,0.4663594470046083,0.5452586206896551,0.8784899247390143
mlp,False,0.7947736411370165,0.43468181648322757,0.3168434958208044,0.7991633597103637,0.49109947643979057,0.4775967413441955,0.5053879310344828,0.8820101966496723
