model,smote,val_auc,val_pr_auc,best_threshold,test_auc,test_f1,test_precision,test_recall,test_accuracy
xgb,True,0.799800240412093,0.47191083553752194,0.28931865096092224,0.809649703405821,0.5252938170669392,0.49951409135082603,0.5538793103448276,0.887229910172372
rf,True,0.8015495195445446,0.4568035540810111,0.5078869727405764,0.8084859545261569,0.5297820823244552,0.4810905892700088,0.5894396551724138,0.8821315853362467
