ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,clouds_all,clouds_all_lower,clouds_all_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,humidity,humidity_lower,humidity_upper,is_holiday,is_holiday_lower,is_holiday_upper,is_weekend,is_weekend_lower,is_weekend_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,rain_1h,rain_1h_lower,rain_1h_upper,rain_3h,rain_3h_lower,rain_3h_upper,snow_3h,snow_3h_lower,snow_3h_upper,temp,temp_lower,temp_upper,temp_max,temp_max_lower,temp_max_upper,temp_min,temp_min_lower,temp_min_upper,weekly,weekly_lower,weekly_upper,wind_speed,wind_speed_lower,wind_speed_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-03-14,25476.873762258423,25381.604105212067,34091.75166344968,25476.873762258423,25476.873762258423,4282.4881990689255,4282.4881990689255,4282.4881990689255,424.42954828878055,424.42954828878055,424.42954828878055,3762.0786980000003,3762.0786980000003,3762.0786980000003,404.41364159868124,404.41364159868124,404.41364159868124,-268.38354619959813,-268.38354619959813,-268.38354619959813,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,173.22781027345846,173.22781027345846,173.22781027345846,-4118.013684712878,-4118.013684712878,-4118.013684712878,149.5441976277604,149.5441976277604,149.5441976277604,16.341379234953077,16.341379234953077,16.341379234953077,15.858700047828503,15.858700047828503,15.858700047828503,-124.54432844539659,-124.54432844539659,-124.54432844539659,-216.67813510550178,-216.67813510550178,-216.67813510550178,58.547981883311024,58.547981883311024,58.547981883311024,635.8562232559287,635.8562232559287,635.8562232559287,-190.72784998650607,-190.72784998650607,-190.72784998650607,3424.9255106537344,3424.9255106537344,3424.9255106537344,0.0,0.0,0.0,29759.361961327348
2018-03-15,25478.20814280089,25675.069907666722,33866.19705196338,25478.20814280089,25478.213156478898,4380.27032708255,4380.27032708255,4380.27032708255,272.7870440766919,272.7870440766919,272.7870440766919,3762.0786980000003,3762.0786980000003,3762.0786980000003,276.4049873482365,276.4049873482365,276.4049873482365,-6.128693517540609,-6.128693517540609,-6.128693517540609,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,677.6421883643161,677.6421883643161,677.6421883643161,-2391.640627092385,-2391.640627092385,-2391.640627092385,98.10391000276586,98.10391000276586,98.10391000276586,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-124.54432844539659,-124.54432844539659,-124.54432844539659,-237.49103385302956,-237.49103385302956,-237.49103385302956,102.79231601873241,102.79231601873241,102.79231601873241,230.05073875096514,230.05073875096514,230.05073875096514,-355.75067496084137,-355.75067496084137,-355.75067496084137,1825.7343417114166,1825.7343417114166,1825.7343417114166,0.0,0.0,0.0,29858.47846988344
2018-03-16,25479.54252334336,26321.042791079024,34281.37304379758,25479.54252334336,25479.56925401828,4878.145541428049,4878.145541428049,4878.145541428049,-65.81470546003756,-65.81470546003756,-65.81470546003756,3762.0786980000003,3762.0786980000003,3762.0786980000003,136.50427150467226,136.50427150467226,136.50427150467226,64.80446167986909,64.80446167986909,64.80446167986909,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,1186.9103099253362,1186.9103099253362,1186.9103099253362,-520.1580657670968,-520.1580657670968,-520.1580657670968,-17.122334277221928,-17.122334277221928,-17.122334277221928,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-182.55028164125872,-182.55028164125872,-182.55028164125872,-237.49103385302956,-237.49103385302956,-237.49103385302956,191.28098428957512,191.28098428957512,191.28098428957512,181.27933787557757,181.27933787557757,181.27933787557757,-143.23926726007878,-143.23926726007878,-143.23926726007878,131.5309898895594,131.5309898895594,131.5309898895594,0.0,0.0,0.0,30357.68806477141
2018-03-17,25480.876903885826,24824.748867671104,32730.20097246644,25480.870509159362,25480.948818069948,3310.305316068364,3310.305316068364,3310.305316068364,271.9889256334704,271.9889256334704,271.9889256334704,3762.0786980000003,3762.0786980000003,3762.0786980000003,-1487.4295018711705,-1487.4295018711705,-1487.4295018711705,-182.18987155732717,-182.18987155732717,-182.18987155732717,52.104298162572896,52.104298162572896,52.104298162572896,-1218.3426477229289,-1218.3426477229289,-1218.3426477229289,1228.9088409042017,1228.9088409042017,1228.9088409042017,1474.5253630658622,1474.5253630658622,1474.5253630658622,133.08330558776214,133.08330558776214,133.08330558776214,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-230.99481398066018,-230.99481398066018,-230.99481398066018,-320.7426288431408,-320.7426288431408,-320.7426288431408,235.52531842499653,235.52531842499653,235.52531842499653,-23.7433510559138,-23.7433510559138,-23.7433510559138,-214.4721413497198,-214.4721413497198,-214.4721413497198,-1644.0347329746169,-1644.0347329746169,-1644.0347329746169,0.0,0.0,0.0,28791.18221995419
2018-03-18,25482.211284428296,23341.557818489633,31690.737353953817,25482.188426408986,25482.33017222694,1954.7571341962075,1954.7571341962075,1954.7571341962075,157.259399420377,157.259399420377,157.259399420377,3762.0786980000003,3762.0786980000003,3762.0786980000003,-1473.6513397624894,-1473.6513397624894,-1473.6513397624894,0.9363617810061998,0.9363617810061998,0.9363617810061998,52.104298162572896,52.104298162572896,52.104298162572896,-1218.3426477229289,-1218.3426477229289,-1218.3426477229289,780.7823465630371,780.7823465630371,780.7823465630371,3567.0429186453407,3567.0429186453407,3567.0429186453407,-2.719053742223456,-2.719053742223456,-2.719053742223456,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-208.3661179537029,-208.3661179537029,-208.3661179537029,-237.49103385302956,-237.49103385302956,-237.49103385302956,102.79231601873241,102.79231601873241,102.79231601873241,-1195.8817770648534,-1195.8817770648534,-1195.8817770648534,-106.43561564709749,-106.43561564709749,-106.43561564709749,-3485.6137121848265,-3485.6137121848265,-3485.6137121848265,0.0,0.0,0.0,27436.968418624503
2018-03-19,25483.545664970767,25872.645959241465,33850.095198404284,25483.49209822075,25483.74417678073,4299.271241713726,4299.271241713726,4299.271241713726,202.75215068400365,202.75215068400365,202.75215068400365,3762.0786980000003,3762.0786980000003,3762.0786980000003,150.6617066811326,150.6617066811326,150.6617066811326,-264.42711523241195,-264.42711523241195,-264.42711523241195,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,240.76030596651813,240.76030596651813,240.76030596651813,5729.166627332718,5729.166627332718,5729.166627332718,163.94747816275887,163.94747816275887,163.94747816275887,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-259.67907655004257,-259.67907655004257,-259.67907655004257,-279.11683134808516,-279.11683134808516,-279.11683134808516,279.7696525604179,279.7696525604179,279.7696525604179,-207.03746448682335,-207.03746448682335,-207.03746448682335,-219.22099962236257,-219.22099962236257,-219.22099962236257,-5376.358631779821,-5376.358631779821,-5376.358631779821,0.0,0.0,0.0,29782.816906684493
2018-03-20,25484.880045513233,26225.407220950714,34807.530477080836,25484.80031927919,25485.155451332077,5166.047503367628,5166.047503367628,5166.047503367628,246.2496058395764,246.2496058395764,246.2496058395764,3762.0786980000003,3762.0786980000003,3762.0786980000003,375.7352902901826,375.7352902901826,375.7352902901826,128.10735715484853,128.10735715484853,128.10735715484853,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,16.424793812026476,16.424793812026476,16.424793812026476,7930.480662174215,7930.480662174215,7930.480662174215,61.06690291276976,61.06690291276976,61.06690291276976,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-302.3867563755675,-302.3867563755675,-302.3867563755675,-320.7426288431408,-320.7426288431408,-320.7426288431408,279.7696525604179,279.7696525604179,279.7696525604179,379.47629272367834,379.47629272367834,379.47629272367834,-242.9652909855763,-242.9652909855763,-242.9652909855763,-7298.1482336324725,-7298.1482336324725,-7298.1482336324725,0.0,0.0,0.0,30650.927548880863
2018-03-21,25486.2144260557,26790.134354177313,35570.492941944976,25486.012761485268,25486.584580598614,5781.062105943857,5781.062105943857,5781.062105943857,-161.18985942500905,-161.18985942500905,-161.18985942500905,3762.0786980000003,3762.0786980000003,3762.0786980000003,334.6671824510388,334.6671824510388,334.6671824510388,460.1649561865486,460.1649561865486,460.1649561865486,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,141.1816973014783,141.1816973014783,141.1816973014783,10139.109620489768,10139.109620489768,10139.109620489768,-56.216952872217774,-56.216952872217774,-56.216952872217774,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-273.7024938061851,-273.7024938061851,-273.7024938061851,-299.92973009561297,-299.92973009561297,-299.92973009561297,279.7696525604179,279.7696525604179,279.7696525604179,635.8562232552431,635.8562232552431,635.8562232552431,-140.86483812375735,-140.86483812375735,-140.86483812375735,-9231.831315553678,-9231.831315553678,-9231.831315553678,0.0,0.0,0.0,31267.276531999556
2018-03-22,25487.54880659817,27574.0569395511,35523.74950775129,25487.269441370005,25488.112919143176,5873.500634487766,5873.500634487766,5873.500634487766,-241.20123335796637,-241.20123335796637,-241.20123335796637,3762.0786980000003,3762.0786980000003,3762.0786980000003,437.6699825076402,437.6699825076402,437.6699825076402,503.1204924017132,503.1204924017132,503.1204924017132,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,278.70949826321686,278.70949826321686,278.70949826321686,12322.478588559548,12322.478588559548,12322.478588559548,-66.50501039721667,-66.50501039721667,-66.50501039721667,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-254.5796520932635,-254.5796520932635,-254.5796520932635,-279.11683134808516,-279.11683134808516,-279.11683134808516,279.7696525604179,279.7696525604179,279.7696525604179,230.05073874957506,230.05073874957506,230.05073874957506,-30.453883284813603,-30.453883284813603,-30.453883284813603,-11157.486871592215,-11157.486871592215,-11157.486871592215,0.0,0.0,0.0,31361.049441085936
2018-03-23,25488.88318714064,27137.002511904848,35525.152700265644,25488.496882968626,25489.554806003616,5955.363612692755,5955.363612692755,5955.363612692755,138.10455678306062,138.10455678306062,138.10455678306062,3762.0786980000003,3762.0786980000003,3762.0786980000003,534.0789824910063,534.0789824910063,534.0789824910063,-37.78014125503044,-37.78014125503044,-37.78014125503044,52.104298162572896,52.104298162572896,52.104298162572896,487.92139609047746,487.92139609047746,487.92139609047746,84.54201148096713,84.54201148096713,84.54201148096713,14448.081229269328,14448.081229269328,14448.081229269328,48.72123388277111,48.72123388277111,48.72123388277111,-29.24794627402431,-29.24794627402431,-29.24794627402431,15.858700047828503,15.858700047828503,15.858700047828503,-205.81640572531336,-205.81640572531336,-205.81640572531336,-175.0523376104462,-175.0523376104462,-175.0523376104462,368.2583208312606,368.2583208312606,368.2583208312606,181.2793378767393,181.2793378767393,181.2793378767393,-128.99269244215049,-128.99269244215049,-128.99269244215049,-13054.696646425287,-13054.696646425287,-13054.696646425287,0.0,0.0,0.0,31444.246799833396
