ds,y_true,y_pred,error,month
2018-03-14,31469.0,29759.361961327348,1709.6380386726523,3
2018-03-15,31218.0,29858.47846988344,1359.521530116559,3
2018-03-16,30801.0,30357.68806477141,443.3119352285903,3
2018-03-17,28240.0,28791.18221995419,551.1822199541893,3
2018-03-18,26073.0,27436.968418624503,1363.968418624503,3
2018-03-19,30924.0,29782.816906684493,1141.183093315507,3
2018-03-20,32996.0,30650.927548880863,2345.0724511191365,3
2018-03-21,32814.0,31267.276531999556,1546.723468000444,3
2018-03-22,32333.0,31361.049441085936,971.9505589140645,3
2018-03-23,32205.0,31444.246799833396,760.7532001666041,3
2018-03-24,29095.0,29091.3067712412,3.6932287587987958,3
2018-03-25,26660.0,27497.690742765462,837.6907427654623,3
2018-03-26,30728.0,29855.029650528842,872.9703494711575,3
2018-03-27,30370.0,30608.5437222301,238.54372223010068,3
2018-03-28,29186.0,31048.71305332079,1862.7130533207892,3
2018-03-29,25912.0,30479.141550677836,4567.141550677836,3
2018-03-30,24300.0,27574.741179495468,3274.741179495468,3
2018-03-31,25150.0,27681.48947494197,2531.489474941969,3
2018-04-01,29851.0,26683.003578111715,3167.996421888285,4
2018-04-02,28498.0,29798.09367053199,1300.093670531991,4
2018-04-03,26287.0,30676.50104572458,4389.501045724581,4
2018-04-04,29824.0,30078.60473170472,254.6047317047196,4
2018-04-05,28604.0,28772.43981998258,168.43981998258096,4
2018-04-06,27417.0,28011.09627991538,594.0962799153785,4
2018-04-07,31018.0,26197.895916946058,4820.104083053942,4
2018-04-08,30018.0,25174.835414796224,4843.164585203776,4
2018-04-09,31481.0,28537.51901481104,2943.4809851889586,4
2018-04-10,29218.0,29080.88849538841,137.11150461158832,4
2018-04-11,24738.0,28537.487216066744,3799.4872160667437,4
2018-04-12,30784.0,27240.679991839304,3543.3200081606956,4
2018-04-13,30728.0,26883.185332660945,3844.8146673390547,4
2018-04-14,26806.0,24950.808331547527,1855.191668452473,4
2018-04-15,24652.0,24263.271726180563,388.72827381943716,4
2018-04-16,29074.0,27350.82865506239,1723.1713449376111,4
2018-04-17,29135.0,27694.349025516054,1440.650974483946,4
2018-04-18,28801.0,27683.52495262999,1117.4750473700115,4
2018-04-19,28391.0,26815.28986131514,1575.710138684859,4
2018-04-20,28143.0,26896.130521399653,1246.869478600347,4
2018-04-21,25284.0,25457.290555622047,173.29055562204667,4
2018-04-22,23254.0,24510.518935752098,1256.5189357520976,4
2018-04-23,27187.0,27211.019201679184,24.019201679184334,4
2018-04-24,28296.0,27355.76779645412,940.2322035458783,4
2018-04-25,28526.0,27437.326117752214,1088.6738822477855,4
2018-04-26,28297.0,27217.095786878774,1079.9042131212263,4
2018-04-27,28136.0,27464.193873399232,671.806126600768,4
2018-04-28,25149.0,25755.500417864543,606.5004178645431,4
2018-04-29,23218.0,24826.99911725934,1608.99911725934,4
2018-04-30,25774.0,27378.11818967123,1604.1181896712296,4
2018-05-01,28677.0,25925.88269479023,2751.1173052097693,5
2018-05-02,33848.0,29004.51822391308,4843.481776086919,5
2018-05-03,31553.0,29242.760003933752,2310.239996066248,5
2018-05-04,29213.0,29207.900840904025,5.0991590959747555,5
2018-05-05,25504.0,26744.144685779018,1240.144685779018,5
2018-05-06,27721.0,25160.429057445075,2560.570942554925,5
2018-05-07,30850.0,27459.314289675174,3390.685710324826,5
2018-05-08,27835.0,28611.4032358079,776.4032358078985,5
2018-05-09,31148.0,29891.86018375952,1256.1398162404803,5
2018-05-10,28825.0,30165.76560722901,1340.7656072290083,5
2018-05-11,29813.0,29908.23583914865,95.23583914864867,5
2018-05-12,30549.0,27417.73879787095,3131.2612021290515,5
2018-05-13,23331.0,25759.815774696388,2428.815774696388,5
2018-05-14,27564.0,28265.88225886407,701.8822588640687,5
2018-05-15,27987.0,29242.75576393826,1255.7557639382612,5
2018-05-16,28564.0,30130.508131159462,1566.5081311594622,5
2018-05-17,28383.0,30027.715343871976,1644.715343871976,5
2018-05-18,28169.0,29103.1719582756,934.1719582756014,5
2018-05-19,25281.0,26781.728884032887,1500.7288840328874,5
2018-05-20,23172.0,25522.89803347788,2350.898033477879,5
2018-05-21,27068.0,28148.40284862133,1080.4028486213283,5
2018-05-22,28219.0,29091.151658635645,872.1516586356447,5
2018-05-23,28628.0,29190.109027839222,562.1090278392221,5
2018-05-24,28639.0,28171.138179837817,467.861820162183,5
2018-05-25,28386.0,27835.911448406107,550.0885515938935,5
2018-05-26,25209.0,25610.043766508734,401.0437665087338,5
2018-05-27,23089.0,24692.075412060378,1603.0754120603779,5
2018-05-28,27511.0,27359.089358898258,151.91064110174193,5
2018-05-29,28279.0,27955.495453331427,323.5045466685733,5
2018-05-30,28063.0,28210.98231582716,147.98231582716107,5
2018-05-31,27795.0,27654.416202337714,140.5837976622861,5
2018-06-01,25265.0,27901.65429133524,2636.6542913352387,6
2018-06-02,34328.0,26722.602316825,7605.397683175001,6
2018-06-03,32227.0,25909.413766364112,6317.586233635888,6
2018-06-04,29443.0,28484.116201002173,958.8837989978274,6
2018-06-05,23287.0,28857.82195910848,5570.821959108482,6
2018-06-06,28156.0,28754.048636369596,598.0486363695964,6
2018-06-07,30700.0,28475.301247979372,2224.6987520206276,6
2018-06-08,32708.0,29362.354103867663,3345.645896132337,6
2018-06-09,30449.0,28507.461759129452,1941.5382408705482,6
2018-06-10,25754.0,28025.74311834202,2271.7431183420194,6
2018-06-11,30505.0,30601.994331309754,96.99433130975376,6
2018-06-12,26759.0,30750.789367076053,3991.789367076053,6
