Metric,Value,Formatted_Value
MAE,2162.9884478988906,2162.99 MW
RMSE,2626.746846474385,2626.75 MW
MAPE,7.669836609443817,7.6698
SMAPE,7.564223435543754,7.5642
R2,0.007151864081307302,0.0072
Directional_Accuracy,16.095890410958905,16.0959
