ds,yhat,yhat_lower,yhat_upper
2018-05-23,28917.328,28492.07421875,29565.8533203125
2018-05-24,28917.328,28279.431640625,29363.8447265625
2018-05-25,28704.715,28247.53828125,29140.5994140625
2018-05-26,28704.715,28056.186328125,29565.8533203125
2018-05-27,28917.328,28279.431640625,29565.8533203125
2018-05-28,28917.328,27641.564453125,29576.485449218748
2018-05-29,28704.715,27609.6697265625,29555.22265625
2018-05-30,28917.328,28279.431640625,29980.478515625
2018-05-31,28917.328,28279.431640625,30012.371874999997
2018-06-01,28811.021,28066.818359375,30203.723828125
2018-06-02,28704.715,27428.923828125,30628.977734375
2018-06-03,28917.328,28056.186328125,30841.6169921875
2018-06-04,28917.328,28258.1689453125,29991.1091796875
2018-06-05,28917.328,28258.1689453125,30203.723828125
2018-06-06,28917.328,27832.9150390625,30416.3630859375
2018-06-07,28917.328,27843.5470703125,30416.3630859375
2018-06-08,28917.328,28268.8009765625,30426.9951171875
2018-06-09,28917.328,26769.79384765625,30426.9951171875
2018-06-10,28917.328,26578.4140625,30214.3544921875
2018-06-11,28811.021,27195.0478515625,30193.091796875
2018-06-12,28917.328,28279.431640625,31490.1181640625
2018-06-13,28917.328,28066.818359375,32106.75
2018-06-14,28917.328,28268.8009765625,32542.6345703125
2018-06-15,28917.328,28066.818359375,31713.389453124997
2018-06-16,28917.328,27822.284375,31511.380859374996
2018-06-17,28704.715,28268.8009765625,30214.3544921875
2018-06-18,28704.715,28024.29296875,29778.46806640625
2018-06-19,28811.021,27620.3017578125,31298.765722656248
2018-06-20,28917.328,28013.6609375,32329.9953125
2018-06-21,28704.715,26982.40712890625,31904.74140625
2018-06-22,28811.021,25887.38935546875,31936.634765624996
2018-06-23,28704.715,25504.6609375,31692.1267578125
2018-06-24,28917.328,27854.177734375,31479.4875
2018-06-25,28917.328,28268.8009765625,31054.231640625
2018-06-26,28917.328,28268.8009765625,31702.7587890625
2018-06-27,28917.328,28056.186328125,32329.9953125
2018-06-28,28917.328,27152.52236328125,32542.6345703125
2018-06-29,28811.021,26100.0041015625,31532.643554687496
2018-06-30,28917.328,25940.546875,29555.22265625
2018-07-01,28917.328,26344.5380859375,30650.2404296875
2018-07-02,28917.328,27843.5470703125,31681.49609375
2018-07-03,28917.328,27216.310546875,31490.1181640625
2018-07-04,28704.715,26546.520703125,31500.7501953125
2018-07-05,28811.021,26535.888671875,32553.2666015625
2018-07-06,28704.715,24866.7658203125,32128.0126953125
2018-07-07,28704.715,23803.643359375,30416.3630859375
2018-07-08,28704.715,26567.7833984375,31702.7587890625
2018-07-09,28704.715,27184.41572265625,31330.659082031245
2018-07-10,28811.021,26333.9060546875,32957.2578125
2018-07-11,28811.021,26578.4140625,32967.8884765625
2018-07-12,28704.715,26365.80078125,32755.24921875
2018-07-13,28704.715,26567.7833984375,32542.6345703125
2018-07-14,28704.715,25919.2841796875,33191.1337890625
2018-07-15,28704.715,24845.503125,33393.1423828125
2018-07-16,28704.715,25674.75009765625,32978.5205078125
2018-07-17,28704.715,24654.151171875,33169.87109375
2018-07-18,28704.715,24877.396484375,33393.1423828125
2018-07-19,28704.715,26780.42451171875,33180.503125
2018-07-20,28634.215,28623.60888671875,28846.306640625
2018-07-21,28634.215,28623.60888671875,28846.306640625
2018-07-22,28634.215,28634.21484375,28846.306640625
2018-07-23,28634.215,28422.095703125,28846.306640625
2018-07-24,28634.215,28634.21484375,28846.306640625
2018-07-25,28634.215,28422.095703125,28846.306640625
2018-07-26,28634.215,28422.095703125,28846.306640625
2018-07-27,28634.215,28422.095703125,28846.306640625
2018-07-28,28634.215,28422.095703125,28846.306640625
2018-07-29,28634.215,28422.095703125,28846.306640625
2018-07-30,28634.215,28422.095703125,28846.306640625
2018-07-31,28634.215,28422.095703125,28846.306640625
2018-08-01,28634.215,28422.095703125,28846.306640625
2018-08-02,28634.215,28422.095703125,28846.306640625
2018-08-03,28634.215,28422.095703125,28846.306640625
2018-08-04,28634.215,28422.095703125,28846.306640625
2018-08-05,28634.215,28422.095703125,28846.306640625
2018-08-06,28634.215,28411.48984375,28846.306640625
2018-08-07,28634.215,28209.978515625,28846.306640625
2018-08-08,28634.215,27997.88671875,28846.306640625
2018-08-09,28634.215,28411.48984375,28846.306640625
2018-08-10,28634.215,28411.48984375,28846.306640625
2018-08-11,28634.215,28411.48984375,28846.306640625
2018-08-12,28634.215,28422.095703125,28846.306640625
2018-08-13,28634.215,28422.095703125,28846.306640625
2018-08-14,28634.215,28209.978515625,28846.306640625
2018-08-15,28634.215,28209.978515625,28846.306640625
2018-08-16,28634.215,28209.978515625,28846.306640625
2018-08-17,28634.215,28209.978515625,28846.306640625
2018-08-18,28634.215,28209.978515625,28846.306640625
2018-08-19,28634.215,28209.978515625,28856.91259765625
2018-08-20,28634.215,28209.978515625,28846.306640625
2018-08-21,28634.215,28209.978515625,28846.306640625
2018-08-22,28634.215,27085.83525390625,28846.306640625
2018-08-23,28634.215,28199.37392578125,28846.306640625
2018-08-24,28634.215,28209.978515625,28846.306640625
2018-08-25,28634.215,27987.28076171875,28846.306640625
2018-08-26,28634.215,28199.37392578125,28846.306640625
2018-08-27,28634.215,27785.767578125,28846.306640625
2018-08-28,28634.215,28146.34697265625,29058.42578125
2018-08-29,28634.215,27690.32099609375,28846.306640625
2018-08-30,28634.215,27891.8341796875,28846.306640625
2018-08-31,28634.215,27297.92705078125,28846.306640625
2018-09-01,28634.215,27891.8341796875,28846.306640625
2018-09-02,28634.215,27085.83525390625,28846.306640625
2018-09-03,28634.215,28199.37392578125,29058.42578125
2018-09-04,28634.215,28209.978515625,29058.42578125
2018-09-05,28634.215,27308.5330078125,28856.91259765625
2018-09-06,28634.215,27987.28076171875,28846.306640625
2018-09-07,28634.215,28167.55751953125,28846.306640625
2018-09-08,28634.215,25845.01953125,28846.306640625
2018-09-09,28634.215,27573.67578125,28846.306640625
2018-09-10,28634.215,26301.046875,28846.306640625
2018-09-11,28634.215,26894.92666015625,29058.42578125
2018-09-12,28634.215,27976.676171875,28846.306640625
2018-09-13,28634.215,27976.676171875,29058.42578125
